id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
name,meet,i,en,264.61,1595.01,750.92,229.14,239.76,296.48,265.42,292.27,1396.38,1669.43,1571.31,1518.17,1819.75
name,beat,i,en,228.01,1772.21,646.27,248.07,221.05,217.38,219.59,233.97,1760.89,1986.80,1867.89,1676.41,1569.07
name,feet,i,en,273.53,1908.93,634.18,270.08,288.96,287.73,269.33,251.57,2033.39,2129.51,1903.64,1878.28,1599.83
name,seat,i,en,242.99,1714.78,661.04,267.96,244.01,242.00,239.42,221.55,2006.01,1970.16,1625.54,1442.09,1530.12
name,heat,i,en,237.36,1655.95,348.64,246.16,227.39,221.10,234.99,257.18,1839.35,1701.25,1662.71,1579.90,1496.55
name,fleet,i,en,267.15,1983.10,855.27,269.91,263.28,294.28,255.10,253.19,2380.05,2406.10,1824.84,1718.95,1585.57
name,moss,a,en,857.36,1242.97,323.11,886.10,883.89,845.38,841.36,830.05,1256.68,1261.35,1128.12,1290.55,1278.13
name,bot,a,en,667.43,1178.98,364.31,653.36,661.93,674.32,684.36,663.17,1040.03,1126.09,1228.33,1185.60,1314.82
name,fought,a,en,656.19,1111.27,230.31,650.42,666.48,627.05,654.89,682.11,1078.62,1108.34,1055.38,1144.05,1169.93
name,sought,a,en,650.33,1135.63,300.50,667.49,655.20,650.01,634.22,644.75,1177.52,1128.41,1056.05,1087.00,1229.19
name,caught,a,en,652.02,1195.82,299.56,659.17,658.91,643.89,674.32,623.83,1101.73,1138.54,1171.57,1192.21,1375.06
name,brought,a,en,648.91,1180.98,217.23,662.74,654.30,660.73,644.53,622.26,1143.08,1121.57,1213.94,1244.65,1181.67
name,moot,u,en,367.93,960.67,346.74,433.74,402.41,346.44,312.13,344.95,929.94,1000.50,897.31,943.37,1032.21
name,boot,u,en,351.53,1155.00,538.93,351.92,361.44,364.39,360.21,319.67,1035.05,1305.10,1286.49,1077.87,1070.48
name,food,u,en,361.08,1170.82,425.26,353.48,359.36,365.31,356.37,370.88,1104.86,1200.37,1219.68,1080.14,1249.05
name,soothe,u,en,331.86,1462.38,474.13,363.66,338.80,301.63,328.19,327.02,1606.07,1437.06,1401.77,1505.82,1361.18
name,cooed,u,en,304.79,1054.17,458.37,336.75,336.49,308.73,262.62,279.34,1080.94,1004.33,1021.57,950.21,1213.80
name,dude,u,en,337.95,1554.57,435.13,348.65,340.97,343.69,339.01,317.41,1780.02,1648.69,1603.21,1390.16,1350.79
name,mis,i,sp,374.02,2326.18,236.13,410.99,361.35,347.98,377.05,372.71,2297.77,2354.22,2322.88,2365.57,2290.45
name,bis,i,sp,306.10,2253.75,409.14,297.84,295.34,336.36,291.28,309.65,2315.91,2350.25,2341.53,2241.83,2019.23
name,pis,i,sp,274.96,2357.34,250.19,281.42,264.92,265.92,283.19,279.34,2345.97,2362.50,2382.37,2427.31,2268.57
name,cito,i,sp,275.12,2366.58,212.84,340.38,295.43,272.67,224.59,242.52,2279.91,2334.09,2378.44,2403.19,2437.26
name,fito,i,sp,275.33,2257.27,1194.59,297.36,285.57,274.87,268.46,250.40,2352.03,2377.76,2346.54,1807.87,2402.17
name,quito,i,sp,240.81,1997.03,2085.57,265.97,265.33,249.92,218.13,204.68,2061.12,2514.79,2520.78,1264.84,1623.60
name,mas,a,sp,730.14,1477.03,224.90,749.44,748.85,717.24,676.65,758.52,1412.08,1427.63,1473.93,1505.42,1566.09
name,vas,a,sp,706.11,1335.60,195.83,714.81,713.41,719.50,701.28,681.56,1332.36,1269.89,1363.66,1358.99,1353.09
name,pasa,a,sp,697.40,1430.11,176.12,692.58,712.55,708.89,693.84,679.16,1371.46,1397.34,1420.91,1429.91,1530.90
name,sala,a,sp,736.31,1318.88,189.08,733.00,722.87,747.80,743.04,734.84,1276.28,1300.95,1383.84,1322.57,1310.74
name,fama,a,sp,736.33,1286.04,121.50,704.10,743.25,739.14,740.74,754.40,1292.12,1260.24,1284.66,1306.61,1286.57
name,cama,a,sp,775.07,1446.53,262.10,758.05,791.39,814.01,781.10,730.80,1441.81,1482.97,1467.92,1382.44,1457.53
name,musa,u,sp,301.62,724.79,381.25,284.32,304.23,331.23,310.75,277.54,550.80,645.05,719.18,790.85,918.07
name,bulto,u,sp,332.80,695.68,137.45,340.54,325.83,322.33,338.04,337.26,698.16,675.28,659.73,694.55,750.66
name,puso,u,sp,334.21,814.58,196.90,335.66,341.36,354.07,338.70,301.28,735.87,751.01,795.55,889.68,900.77
name,supo,u,sp,323.35,884.28,200.98,336.72,333.72,322.73,325.51,298.09,991.29,933.03,860.50,835.75,800.85
name,fumo,u,sp,359.20,672.28,96.96,373.68,358.77,364.22,356.41,342.92,698.12,694.11,694.72,652.14,622.30
name,cura,u,sp,325.68,688.89,137.68,309.27,313.47,317.89,334.52,353.25,667.64,670.87,655.17,685.92,764.83
